date,year,month,week_num,day_of_year,temp_0m,temp_5m,temp_sum_0m,temp_sum_5m,sal_0m,do_0m,chl_0m,sal_5m,do_5m,chl_5m,precip_mm_day,precip_sum_july,is_interpolated
2023/2/16,2023,2,7,47,10.7,10.7,4.76,4.9,33.19,8.15,1.03,33.2,8.15,1.11,25,307.5,0
2023/2/21,2023,2,8,52,10.8,10.9,10.5,10.85,33.18,8.11,0.77,33.18,8.29,0.91,32.5,307.5,0
2023/3/2,2023,3,9,61,11,11.1,17.5,18.34,33.3,9.09,1.07,33.31,9.12,1.36,6,307.5,0
2023/3/7,2023,3,10,66,11.3,11.3,26.39,27.3,33.29,8.6,0.56,33.31,8.54,0.78,5,307.5,0
2023/3/14,2023,3,11,73,11.8,11.8,38.71,39.62,33.41,8.49,0.66,33.4,8.44,0.9,20,307.5,0
2023/3/23,2023,3,12,82,12.6,12.5,56.91,56.77,33.06,8.21,0.72,33.27,8.3,0.81,22.5,307.5,0
2023/3/30,2023,3,13,89,12.9,12.9,76.86,76.79,33.16,8.41,0.6,33.18,8.39,0.71,17,307.5,0
2023/4/6,2023,4,14,96,13.6,13.4,102.27,100.24,33.28,8.25,0.5,33.28,8.05,0.66,37,307.5,0
2023/4/13,2023,4,15,103,14.1,13.8,130.62,126.56,,,,,,,54,307.5,1
2023/4/20,2023,4,16,110,14.5,14.2,161.91,155.68,32.2,7.84,0.75,33.02,7.94,0.82,48,307.5,0
2023/4/27,2023,4,17,117,14.3,14.4,192.08,186.48,28.89,7.95,0.4,33.08,7.56,0.45,65.5,307.5,0
2023/5/2,2023,5,18,122,15.1,15,227.64,221.55,32.17,7.82,0.38,32.83,7.76,0.57,61.5,307.5,0
2023/5/11,2023,5,19,131,16.6,15.8,273.63,262.15,31.5,7.81,0.45,32.68,7.67,0.65,173.5,307.5,0
2023/5/18,2023,5,20,138,18.5,17,333.2,311.43,32.5,7.74,0.6,32.84,7.47,0.35,17,307.5,0
2023/5/22,2023,5,21,142,18.5,17.5,392.98,363.93,32.45,7.62,0.66,32.8,7.42,0.67,39,307.5,0
2023/6/3,2023,6,22,154,19,18.4,456.26,422.66,30.11,7.3,0.6,32.5,6.87,0.31,65.5,307.5,0
2023/6/7,2023,6,23,158,19,18.8,519.4,484.47,32.3,7.28,0.88,32.45,7.26,0.78,46,307.5,0
2023/6/15,2023,6,24,166,20.4,19.5,592.48,550.76,31.72,7.09,1.3,32.44,6.72,0.6,12.5,307.5,0
2023/6/22,2023,6,25,173,20.9,20.3,668.43,623.14,31.57,6.58,1.46,32.48,6.9,1.07,23,307.5,0
2023/6/29,2023,6,26,180,23.6,21.2,763.49,701.75,32.15,7,1.86,32.43,6.88,0.83,25.5,307.5,0
2023/7/6,2023,7,27,187,22,21.3,847.7,780.85,31.4,6.53,1.25,32.19,6.32,0.84,184.5,307.5,0
2023/7/13,2023,7,28,194,23.8,21.8,944.37,863.45,25.1,8.39,7.67,31.87,6.24,1.31,199,307.5,0
2023/7/20,2023,7,29,201,24.4,23.2,1045.45,955.57,31.74,7.11,0.9,32.1,6.93,1.38,19,307.5,0
2023/7/27,2023,7,30,208,25.2,24.1,1152.13,1054.55,,,,,,,0,307.5,1
2023/8/2,2023,8,31,214,26,25.1,1264.41,1160.39,31.83,6.59,0.84,32.02,6.69,0.87,0,307.5,0
2023/8/9,2023,8,32,221,26.9,25.9,1382.5,1271.69,,,,,,,0.5,307.5,0
2023/8/17,2023,8,33,229,27.7,26.7,1506.4,1388.52,31.6,6.43,1.83,32,6.09,1.2,12,307.5,0
2023/8/24,2023,8,34,236,27.1,26.7,1626.31,1505.07,31.73,5.44,0.88,32.06,5.88,1.2,19.5,307.5,0
2023/8/30,2023,8,35,242,27.7,27.1,1749.93,1624.7,32.02,6.34,1.01,32.15,6.39,1.24,5.5,307.5,0
2023/9/8,2023,9,36,251,26.9,26.9,1868.23,1743.21,32.13,6.1,0.97,32.22,5.68,0.65,48.5,307.5,0
2023/9/14,2023,9,37,257,27.4,27.2,1990.03,1863.75,32.2,6.2,0.88,32.23,6.18,1.07,20,307.5,0
2023/9/21,2023,9,38,264,27.4,27.4,2112.11,1985.83,32.31,6.01,1.02,32.3,5.92,0.96,46.5,307.5,0
2023/9/28,2023,9,39,271,26.4,26.4,2226.56,2100.63,,,,,,,0,307.5,1
2023/10/5,2023,10,40,278,25.3,25.4,2333.38,2208.15,,,,,,,1,307.5,1
2023/10/12,2023,10,41,285,24.2,24.3,2432.64,2308.39,32.39,6.19,0.67,32.36,6.16,0.77,6,307.5,0
2023/10/19,2023,10,42,292,23.9,23.9,2529.94,2405.9,32.5,6.22,0.84,32.52,6.17,1.3,0,307.5,0
2023/10/26,2023,10,43,299,23.1,23,2621.29,2496.97,32.51,6.33,0.72,32.49,6.16,0.74,1,307.5,0
2024/2/15,2024,2,7,46,11.75,12.02,0,0,33.23,8.31,0.76,33.49,8.09,0.58,,307.5,0
2024/2/23,2024,2,8,54,12.2,12.29,0,0,,,,,,,,307.5,0
2024/3/1,2024,2,9,61,11.42,11.72,0,0,,,,,,,,307.5,0
2024/3/7,2024,3,10,67,11.3,11.3,9.1,9.1,33.25,8.45,0.26,33.31,8.29,0.43,26,297,0
2024/3/15,2024,3,11,75,11.6,11.6,20.3,20.3,33.36,8.46,0.28,33.43,8.35,0.36,21,297,0
2024/3/19,2024,3,12,79,12,12,34.3,34.3,33.46,,0.31,33.47,8.38,0.48,0,297,0
2024/3/28,2024,3,13,88,12.2,12.1,49.7,49,32.32,8.4,0.27,33.22,8.27,0.53,88,297,0
2024/4/6,2024,4,14,97,13.2,13,72.1,70,31.03,,0.39,33.23,8.27,0.42,72,297,0
2024/4/11,2024,4,15,102,14,13.3,100.1,93.1,32.7,8.36,0.35,32.98,8.27,0.4,26.5,297,0
2024/4/17,2024,4,16,108,16.3,14,144.2,121.1,32.83,,0.4,33.23,8.21,0.39,0.5,297,0
2024/4/24,2024,4,17,115,15.4,14.5,182,152.6,32.56,8,0.71,33.15,8.02,0.63,15.5,297,0
2024/5/1,2024,5,18,122,15.9,15.3,223.3,189.7,,,,,,,43.5,297,1
2024/5/8,2024,5,19,129,16.4,16.1,268.1,232.4,32.68,7.98,0.56,33.02,7.81,0.52,25.5,297,0
2024/5/17,2024,5,20,138,16.8,16.8,315.7,280,31.73,8.03,0.92,32.25,7.75,0.85,96,297,0
2024/5/23,2024,5,21,144,18.4,17.3,374.5,331.1,32.13,7.75,1.39,32.49,7.52,1,0.5,297,0
2024/5/30,2024,5,22,151,18.9,18,436.8,387.1,31.44,7.71,1.58,32.4,7.52,1.2,83,297,0
2024/6/6,2024,6,23,158,19,18.5,499.8,446.6,32.2,7.68,1.34,32.37,7.25,1,4,297,0
2024/6/13,2024,6,24,165,22.2,19.2,585.2,511,30.89,7.73,2.29,32.11,7.39,1.13,77,297,0
2024/6/20,2024,6,25,172,21.8,20.2,667.8,582.4,30.3,7.92,3.16,32.1,7.14,1.97,57.5,297,0
2024/6/27,2024,6,26,179,21,20.8,744.8,658,24.76,8.08,8.18,31.85,6.5,2.14,147,297,0
2024/7/3,2024,7,27,185,23,21,835.8,735,14.27,7.59,2.88,31.36,6.09,1.01,213.5,297,0
2024/7/11,2024,7,28,193,22.4,22.3,922.6,821.1,14.7,7.58,2.6,31.68,6.23,2.75,88,297,0
2024/7/18,2024,7,29,200,25.9,22.8,1033.9,910.7,29.72,7.75,3.14,31.44,6.74,1.91,46,297,0
2024/7/24,2024,7,30,206,26.3,23.8,1148,1007.3,30.75,7.04,2.57,31.57,7.3,3.7,15.5,297,0
2024/7/31,2024,7,31,213,26.2,24.6,1261.4,1109.5,31.23,7.07,2.14,31.53,7.07,2.04,0,297,0
2024/8/9,2024,8,32,222,27,25.4,1380.4,1217.3,31.49,6.81,1.74,31.75,6.91,2.59,8.5,297,0
2024/8/16,2024,8,33,229,27.7,26.1,1504.3,1330,,,,,,,0,297,1
2024/8/22,2024,8,34,235,28.3,26.7,1632.4,1446.9,31.55,7.18,2.26,31.77,6.62,3.86,5.5,297,0
2024/8/27,2024,8,35,240,28.3,27.1,1760.5,1566.6,31.68,6.46,2.14,31.85,6.26,2.18,0,297,0
2024/9/5,2024,9,36,249,27.8,27.4,1885.1,1688.4,31.7,7.01,1.76,31.77,6.96,3.18,16.5,297,0
2024/9/10,2024,9,37,254,28.3,27.7,2013.2,1812.3,31.42,6.87,1.5,31.61,7.25,1.55,5.5,297,0
2024/9/19,2024,9,38,263,28.8,28.3,2144.8,1940.4,31.78,6.38,2.01,31.83,6.35,1.95,0,297,0
2024/9/26,2024,9,39,270,27.7,27.5,2268.7,2062.9,,,,,,,41,297,1
2024/10/3,2024,10,40,277,26.6,26.6,2384.9,2179.1,31.76,5.88,2.01,31.77,5.77,2,23.5,297,0
2024/10/10,2024,10,41,284,26.1,26.2,2497.6,2292.5,,,,,,,71,297,1
2024/10/17,2024,10,42,291,25.6,25.7,2606.8,2402.4,31.63,6.45,2.49,31.72,6.22,2.08,1,297,0
2024/10/24,2024,10,43,298,24,24,2704.8,2500.4,31.4,5.9,2.25,31.43,5.78,2.07,75.5,297,0
2025/2/14,2025,2,7,45,9.6,9.6,0,0,,,,,,,,64,1
2025/2/21,2025,2,8,52,9.3,9.33,0,0,32.4,9.29,4.86,32.39,9.32,5.11,,64,0
2025/2/28,2025,2,9,59,9.3,9.9,0,0,,,,,,,,64,1
2025/3/6,2025,3,10,65,9.26,10.4,0,0,30.02,8.92,2.03,32.33,8.64,2.49,,64,0
2025/3/13,2025,3,11,72,9.8,10.4,0,0,,,,,,,,64,1
2025/3/21,2025,3,12,80,10.3,10.3,2.1,2.1,32.32,9.11,1.18,32.39,9.17,,34,64,0
2025/3/28,2025,3,13,87,10.9,10.8,8.4,7.7,,,,,,,41,64,1
2025/4/2,2025,4,14,92,11.4,11.3,18.2,16.8,32.13,8.35,1.05,32.4,8.37,1.17,45,64,0
2025/4/10,2025,4,15,100,13.5,12.6,42.7,35,32.24,8.53,1.77,32.36,8.72,2.13,9,64,0
2024/4/18,2025,4,16,109,14.7,12.7,75.6,53.9,30.72,8.2,1.59,32.33,8.57,,36.5,64,0
2025/4/25,2025,4,17,115,14.7,13.7,108.5,79.8,33.04,8.43,1.17,33.21,8.46,1.3,31.5,64,0
2025/5/1,2025,5,18,121,15.3,14.1,145.6,108.5,32.87,8.35,0.85,33.18,8.51,1.35,7.5,64,0
2025/5/7,2025,5,19,127,15.3,14.8,182.7,142.1,32.74,8.16,0.76,33.1,7.88,0.87,50,64,0
2024/5/16,2025,5,20,137,17.4,15.7,234.5,182,32.8,8.08,1.03,33.22,8.13,1.36,5,64,0
2025/5/20,2025,5,21,140,18.2,16,291.9,224,32.76,7.95,1.11,33.18,7.92,1.58,33.5,64,0
2025/5/27,2025,5,22,147,17.3,16.6,343,270.2,32.79,8.07,0.72,33.07,7.99,1.07,84,64,0
2025/6/4,2025,6,23,155,18.9,17.6,405.3,323.4,32.19,7.6,0.97,33.03,7.71,,39,64,0
2025/6/11,2025,6,24,162,18.6,18.1,465.5,380.1,15.89,8.06,1.63,33.09,7.22,1.48,49.5,64,0
2025/6/19,2025,6,25,170,22.1,19,550.2,443.1,32.2,7.88,1.25,32.95,6.6,0.8,45.5,64,0
2025/6/23,2025,6,26,174,21.6,19.5,631.4,509.6,30.51,7.21,2.2,33.07,6.92,1.29,32,64,0
2025/7/1,2025,7,27,182,24.4,20.9,732.2,585.9,32.54,7.65,2.13,32.91,7.35,1.03,0,64,0
2025/7/11,2025,7,28,192,25,22.1,837.2,670.6,32.87,7.36,1.55,33.2,7.09,1.84,1,64,0
2025/7/15,2025,7,29,196,23.4,22.3,931,756.7,32.81,6.97,1.03,33.16,6.83,1.24,31.5,64,0
2025/7/25,2025,7,30,206,26.9,24.6,1049.3,858.9,33.11,7.23,0.98,33.11,7.06,1.48,0,64,0
2025/7/30,2025,7,31,211,27.7,25.6,1173.2,968.1,33.16,6.99,1,33.11,6.8,1.83,0,64,0
2025/8/6,2025,8,32,218,27.9,26.5,1298.5,1083.6,33.2,6.67,1.29,33.17,6.63,1.43,0,64,0
2025/8/13,2025,8,33,225,27.7,26.5,1422.4,1199.1,,,,,,,242,64,1
2025/8/18,2025,8,34,230,27.5,26.4,1544.9,1313.9,32.64,6.96,1.56,32.98,6.36,1.47,2,64,0
2025/8/25,2025,8,35,237,28.1,27.2,1671.6,1434.3,,,,,,,0,64,1
2025/9/4,2025,9,36,247,28.7,27.9,1802.5,1559.6,33.09,6.5,1.17,33.07,6.38,1.1,22,64,0
2025/9/11,2025,9,37,254,27.9,27.2,1927.8,1680,32.37,6.34,1.5,33.06,6.13,1.35,63.5,64,0
2025/9/17,2025,9,38,260,28.2,27.3,2055.2,1801.1,32.8,6.77,1.45,33.21,6.63,1.12,56.5,64,0
2025/9/24,2025,9,39,267,27.4,26.8,2177,1918.7,,,,,,,42.5,64,1
2025/10/1,2025,10,40,274,26.7,26.3,2293.9,2032.8,,,,,,,30,64,1
2025/10/7,2025,10,41,280,25.9,25.8,2405.2,2143.4,33.1,6.87,1.05,33.12,6.88,1.31,55,64,0
2025/10/17,2025,10,42,290,25.5,25.5,2513.7,2251.9,33.22,6.11,1.14,33.22,5.92,1.37,2.5,64,0
2025/10/23,2025,10,43,296,23.51,23.6,2608.27,2347.1,33.27,6.45,1.38,33.3,6.32,1.66,15.5,64,0
2026/2/10,2026,2,7,41,10.7,10.6,4.9,4.2,34.1,8.72,0.92,34.03,8.57,1.19,12,,0
2026/2/17,2026,2,8,48,11.5,11.4,15.4,14,,,,,,,4.5,,1
2026/2/26,2026,2,9,57,12.3,12.1,31.5,28.7,33.61,8.64,0.69,34.08,8.56,1.1,52.5,,0
2026/3/5,2026,3,10,64,11.8,11.8,44.1,41.3,33.78,8.41,0.87,33.84,8.34,1.29,33,,0
2026/3/11,2026,3,11,70,11.4,11.5,53.9,51.8,33.86,8.46,1.01,33.96,8.45,1.92,13.5,,0
2026/3/19,2026,3,12,78,12.1,12,68.6,65.8,33.92,8.52,0.84,34.12,8.56,1.02,16.5,,0
2026/3/25,2026,3,13,84,12.7,12.5,87.5,83.3,33.81,8.41,1.14,34.05,8.66,1.39,24,,0
2026/4/1,2026,4,14,91,13.4,13.2,111.3,105.7,33.75,8.52,1.01,34.02,8.55,1.31,54.5,,0
2026/4/8,2026,4,15,98,13.2,13.2,133.7,128.1,33.8,8.5,0.83,33.92,8.52,1.58,38.5,,0
2026/4/15,2026,4,16,105,14.7,13.9,166.6,155.4,33.34,8.32,1.24,33.98,8.35,1.65,96.5,,0
2026/4/23,2026,4,17,113,14.7,14.4,199.5,186.2,33.86,8.35,2.63,34.01,8.36,2.98,42.5,,0
2026/4/30,2026,4,18,120,15.1,15,235.2,221.2,32.63,8.29,2.52,33.79,8.81,2.78,57.5,,0
2026/5/7,2026,5,19,127,17,15.5,284.2,259.7,33.1,8.31,1.47,33.74,8.6,2.02,53,,0
2026/5/12,2026,5,20,132,17.4,16.2,336,303.1,33.5,8.12,1.73,33.8,8.32,2.58,0,,0
2026/5/21,2026,5,21,141,19.9,17.3,405.3,354.2,33.73,7.68,2.98,33.97,8.23,3.28,14.5,,0
2026/5/25,2026,5,22,145,19.7,17.7,473.2,408.1,33.73,7.94,1.36,33.9,7.96,2.73,12,,0
2026/6/5,2026,6,23,156,19.9,18.9,542.5,470.4,31.03,6.64,3.01,33.78,8.35,3.11,94.5,,0
2026/6/10,2026,6,24,161,20.89,19.23,618.73,535.01,29.58,7.98,2.8,33.66,7.6,2.15,51,,0
2026/6/19,2026,6,25,170,22.02,20.33,702.87,607.32,33.34,7.44,1.78,33.75,7.55,2.29,8,,0
2026/6/26,2026,6,26,177,22.3,20.5,788.97,680.82,,,,,,,329,,1
2026/7/1,2026,7,27,183,22.6,20.7,877.17,755.72,28.77,8.66,9.81,32.93,7.12,3.74,137,,0
